tconst	averageRating	numVotes
tt0025390	6.9	38
tt0025406	6.7	88
tt0025439	6.1	26
tt0025444	5.9	38
tt0025505	6.4	38
tt0025542	7.0	126
tt0025583	2.8	25
tt0025604	4.8	78
tt0025611	5.4	214
tt0025631	5.7	17
tt0025634	6.0	9
tt0025662	4.5	14
tt0025678	6.6	50
tt0025712	5.5	465
tt0025718	6.3	1048
tt0025725	4.8	417
tt0025731	6.8	924
tt0025743	5.6	11
tt0025762	5.8	227
tt0025774	5.7	240
tt0025803	5.8	587
tt0025830	5.1	1350
tt0025866	6.9	15
tt0025921	6.4	135
tt0025933	4.4	13
tt0025939	5.8	459
tt0025942	6.2	142
tt0025945	6.0	240
tt0025946	6.9	1131
tt0025985	7.0	74
tt0025990	5.9	48
tt0026007	6.5	766
tt0026055	6.1	751
tt0026066	3.1	21
tt0026087	6.2	28
tt0026114	5.6	77
tt0026124	6.8	409
tt0026183	5.0	13
tt0026196	6.4	33
tt0026225	6.5	46
tt0026241	5.5	114
tt0026247	6.4	66
tt0026274	6.0	129
tt0026279	5.5	177
tt0026314	7.0	59
tt0026323	7.6	13
tt0026341	6.0	102
tt0026352	6.2	87
tt0026356	5.5	39
tt0026375	6.5	18
tt0026376	6.0	31
tt0026377	6.2	192
tt0026387	4.1	45
tt0026409	6.8	866
tt0026421	6.8	3071
tt0026424	7.5	1696
tt0026452	6.9	2207
tt0026480	6.2	48
tt0026485	6.4	83
tt0026488	5.9	57
tt0026492	5.4	87
tt0026500	7.1	26
tt0026502	5.3	122
tt0026509	6.0	17
tt0026517	6.9	60
tt0026542	6.1	207
tt0026543	7.3	74
tt0026578	6.6	43
tt0026654	6.0	158
tt0026672	6.0	34
tt0026673	6.9	33
tt0026700	5.5	39
tt0026764	2.4	26
tt0026785	6.1	67
tt0026797	5.2	132
tt0026810	6.5	30
tt0026819	6.0	486
tt0026829	6.4	52
tt0026831	7.1	261
tt0026895	6.7	733
tt0026914	6.4	1616
tt0026918	5.9	75
tt0026924	6.6	12
tt0026926	6.2	297
tt0026953	7.1	28
tt0026959	6.3	29
tt0026972	6.5	2820
tt0026987	6.2	29
tt0027020	6.0	203
tt0027049	5.5	17
tt0027052	5.9	65
tt0027054	5.6	36
tt0027063	5.4	44
tt0027099	5.8	411
tt0027118	7.4	1743
tt0027120	6.1	70
